city,NDVI,NDBI,Rainfall,Temperature,latitude,longitude,AQI,Livability
Delhi,0.3441616631521975,-0.0955936878228422,823.3936266869977,28.74482954447785,28.6138954,77.2090057,5,28.02
Mumbai,0.167598144604388,-0.0889319841154589,2804.351964072813,33.0531976241254,19.054999,72.8692035,3,49.23
Kolkata,0.2461366060601958,-0.0481299265336117,1531.5589780317086,30.613433073687133,22.5726459,88.3638953,2,46.43
Chennai,0.1243763084479169,-0.0351996766789385,1921.1193244973565,34.42462656318423,13.0836939,80.270186,1,47.29
Bangalore,0.2027070507376561,-0.0381835627946041,907.9330219695528,30.857091013724244,12.9767936,77.590082,3,30.44
Hyderabad,0.242695820851026,-0.0137163272065551,747.2525213579796,33.04441182475142,17.360589,78.4740613,2,34.43
Ahmedabad,0.1930247237947547,0.0044336805346972,804.7749375935692,33.671339814096655,23.0215374,72.5800568,3,27.17
Pune,0.3058562140053369,-0.016089603007033,752.9983088181749,33.007585104029545,18.5213738,73.8545071,3,31.47
Surat,0.2861104304820545,-0.0674156456130755,1188.7036951900566,33.61907471072061,21.2094892,72.8317058,3,37.09
Jaipur,0.2877675897223166,-0.0146517527778903,626.9776516023782,30.12003709263325,26.9154576,75.8189817,4,24.24
Lucknow,0.2731938745427637,-0.0434410167473198,926.307993104234,31.086321968892264,26.8381,80.9346001,4,29.7
Kanpur,0.2948764684417173,-0.0656582553994082,685.5402021232132,30.46781541495966,26.4609135,80.3217588,4,26.89
Nagpur,0.2962768045663942,-0.0029051923123603,1303.809742389131,33.46665355271102,21.1498134,79.0820556,3,36.47
Indore,0.2866603820062792,-0.038157691246215,1082.6468362969165,33.19615432221252,22.7203616,75.8681996,3,35.5
Bhopal,0.3096924432421423,-0.0529893511568712,1095.1066719789667,30.94850780830967,23.2584857,77.401989,3,37.33
Patna,0.2558965747552235,-0.0576432519100148,898.653806913554,30.959718345475324,25.6093239,85.1235252,4,28.25
Vadodara,0.3008566908977959,-0.0407584726355392,903.8274035226466,33.88214776058379,22.2973142,73.1942567,3,32.82
Visakhapatnam,0.503807495028928,-0.1560851996312749,791.9184323778793,31.26526255403718,17.6935526,83.2921297,1,54.14
Ludhiana,0.2948243867969868,-0.0802283686630893,921.508612471751,29.28027449187892,30.9090157,75.851601,4,30.61
Agra,0.2913433593443463,-0.0529052963995063,666.7239831336682,30.555935150826546,27.1752554,78.0098161,5,23.77
Nashik,0.3247274153385721,-0.0362486115437334,702.7779303815989,33.69340614695017,20.0112475,73.7902364,4,27.24
Faridabad,0.3329020619371113,-0.0712814087668022,788.1418037955573,29.38333945052773,28.4031478,77.3105561,5,26.29
Meerut,0.3693971609200278,-0.0998214235811062,1014.8985910352038,28.888527110121345,29.0018557,77.7679671,5,32.76
Rajkot,0.25153639142431,-0.0300075793708264,837.8456195793534,35.12282800959599,22.3053263,70.8028377,3,29.78
Varanasi,0.2963090261050493,-0.0610103727956975,785.4048512645146,31.221663683133784,25.3356491,83.0076292,3,32.7
Srinagar,0.3162941732773175,-0.1487145687931209,669.2412683463128,21.39001792829617,34.0747444,74.8204443,3,36.97
Aurangabad,0.319875523871692,-0.0416356549373953,848.1255885390257,34.483226215232776,19.877263,75.3390241,4,27.8
Dhanbad,0.331035507415271,0.0139449488052567,1135.9692720793705,32.00412860236952,23.7952809,86.4309638,4,32.89
Amritsar,0.380169605057869,-0.1334481100957621,1141.1163763075103,28.461814993115127,31.6356659,74.8787496,4,39.91
Allahabad,0.2569468976181636,-0.0299738710187132,748.4569856297747,31.025991187681484,25.4381302,81.8338005,3,30.29
Ranchi,0.276596349757074,0.0327094019185632,1139.4765920890331,31.04804010043585,23.3700501,85.3250387,3,31.74
Howrah,0.2679530451386834,-0.0553714357531379,1562.3733265291116,30.552611735591768,22.5736296,88.3251045,2,47.4
Coimbatore,0.2676385773721002,-0.0059972754298471,717.7761375908849,34.5885964465316,11.0018115,76.9628425,3,28.65
Jabalpur,0.4000330777359717,-0.0785730138833837,1146.3092173997677,31.068829361802216,23.1701522,79.9324505,3,42.41
Gwalior,0.327637024485919,-0.0179386710008649,807.4982240913613,31.289805990489867,26.2037247,78.1573628,3,33.5
Vijayawada,0.344185769943757,-0.105537148982414,976.928476824299,33.15250427156127,16.5115306,80.6160469,1,49.6
